"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"4620630.02","462","Montréal","0630.02",5177.00,-0.20,2358.90,45.00,57.50,25.40,5.00,210.00,130.00,2.60,50400.00,42400.00,5.20,3.60,8.60,70.00,50.00,3965.00,1065.00,100.00,170.00,1705.00,240.00,185.00,7.60,25.00,820.00,840.00,90.00,552000.00
"4620631.00","462","Montréal","0631.00",7777.00,0.10,311.90,39.10,72.60,10.70,40.00,525.00,45.00,3.00,48800.00,42000.00,3.90,2.90,11.00,60.00,30.00,5770.00,1970.00,315.00,425.00,2290.00,310.00,280.00,9.90,17.70,1320.00,1320.00,55.00,600000.00
"4620632.01","462","Montréal","0632.01",5094.00,2.60,3355.30,44.10,62.80,22.00,65.00,535.00,5.00,2.50,38400.00,34000.00,7.00,5.10,13.20,150.00,45.00,3555.00,1400.00,170.00,370.00,1435.00,560.00,290.00,10.80,23.60,840.00,912.00,120.00,420000.00
"4620632.02","462","Montréal","0632.02",4836.00,0.60,2430.90,41.40,64.50,17.40,30.00,675.00,0.00,2.60,39600.00,34800.00,8.10,6.80,15.60,140.00,40.00,3420.00,1460.00,210.00,395.00,1200.00,685.00,245.00,8.30,20.30,830.00,878.00,85.00,400000.00
"4620632.03","462","Montréal","0632.03",5789.00,-3.00,1408.80,52.20,51.70,36.30,15.00,585.00,0.00,2.50,42000.00,36800.00,6.50,5.30,10.20,55.00,25.00,3360.00,1135.00,115.00,225.00,1340.00,475.00,220.00,10.60,16.80,820.00,896.00,65.00,500000.00
"4620632.04","462","Montréal","0632.04",6996.00,-2.50,3685.60,44.10,67.30,19.50,25.00,1370.00,0.00,2.30,40000.00,34800.00,7.20,5.70,14.50,125.00,45.00,5345.00,1595.00,125.00,430.00,2040.00,970.00,460.00,9.60,27.50,850.00,926.00,130.00,400000.00
"4620633.00","462","Montréal","0633.00",5272.00,0.70,3228.20,47.40,56.90,28.30,15.00,290.00,415.00,2.40,43600.00,38400.00,7.20,6.10,10.80,130.00,65.00,3605.00,1260.00,135.00,285.00,1510.00,525.00,290.00,12.00,21.90,840.00,956.00,125.00,492000.00
"4620634.00","462","Montréal","0634.00",3212.00,7.80,3924.70,41.40,64.20,18.20,10.00,425.00,125.00,2.40,38000.00,34000.00,10.10,9.30,13.20,175.00,65.00,2175.00,980.00,170.00,230.00,820.00,510.00,190.00,9.80,21.60,870.00,960.00,115.00,400000.00
"4620635.00","462","Montréal","0635.00",5666.00,2.70,5479.20,49.60,55.10,32.00,460.00,805.00,400.00,2.10,33600.00,30600.00,14.30,12.10,22.80,125.00,140.00,3400.00,1385.00,260.00,320.00,1155.00,1260.00,680.00,20.30,35.50,850.00,944.00,310.00,348000.00
"4620636.00","462","Montréal","0636.00",7443.00,2.50,3341.30,38.70,65.20,14.90,115.00,2205.00,65.00,2.40,34000.00,30800.00,13.50,11.70,20.40,350.00,200.00,5130.00,2100.00,295.00,620.00,1075.00,2000.00,470.00,12.60,16.80,870.00,890.00,275.00,368000.00
